"","RAL","wolb","Code","trt","day","protein","weight.5.flies"
"1","RAL_105","n","10CB","b","c",389.922746461049,0.983666666666667
"2","RAL_105","n","10CA","a","c",355.182485968352,0.996
"3","RAL_105","n","10CA","a","c",268.373819515359,0.996
"4","RAL_105","n","10CA","a","c",330.380009838925,0.996
"5","RAL_105","n","10CB","b","c",450.080846726809,0.983666666666667
"6","RAL_105","n","10CB","b","c",382.402983927829,0.983666666666667
"7","RAL_109","n","6BB","b","b",162.377150652005,1.11433333333333
"8","RAL_109","n","6BA","a","b",171.907238138034,1.14233333333333
"9","RAL_109","n","6BA","a","b",242.227574351748,1.14233333333333
"10","RAL_109","n","6BB","b","b",334.09516653039,1.11433333333333
"11","RAL_109","n","6BA","a","b",294.042558930274,1.14233333333333
"12","RAL_109","n","6BB","b","b",200.536709736091,1.11433333333333
"13","RAL_129","n","28EB","b","e",290.014767635287,1.13
"14","RAL_129","n","28EB","b","e",251.48643654693,1.13
"15","RAL_129","n","28EB","b","e",283.593379120561,1.13
"16","RAL_136","y","26BA","a","b",364.622813797659,1.186
"17","RAL_136","y","26BB","b","b",403.886536608027,1.24166666666667
"18","RAL_136","y","26BA","a","b",509.629138317185,1.186
"19","RAL_136","y","26BB","b","b",393.051551673237,1.24166666666667
"20","RAL_136","y","26BB","b","b",515.848047600855,1.24166666666667
"21","RAL_136","y","26BA","a","b",418.046196515379,1.186
"22","RAL_149","y","28DB","b","d",435.95673857736,1.15966666666667
"23","RAL_149","y","28DB","b","d",469.233852095717,1.15966666666667
"24","RAL_149","y","28DA","a","d",362.106660087404,1.25766666666667
"25","RAL_149","y","28DB","b","d",382.713356947989,1.15966666666667
"26","RAL_149","y","28DA","a","d",445.861789867027,1.25766666666667
"27","RAL_149","y","28DA","a","d",431.902601570423,1.25766666666667
"28","RAL_153","y","21CA","a","c",494.526766917293,1.24133333333333
"29","RAL_153","y","21CB","b","c",446.490315789474,1.38
"30","RAL_153","y","21CA","a","c",478.514616541353,1.24133333333333
"31","RAL_153","y","21CB","b","c",478.514616541353,1.38
"32","RAL_153","y","21CA","a","c",350.417413533835,1.24133333333333
"33","RAL_153","y","21CB","b","c",490.523729323308,1.38
"34","RAL_158","n","29EB","b","e",468.730175029077,1.31733333333333
"35","RAL_158","n","29EB","b","e",512.708899276948,1.31733333333333
"36","RAL_158","n","29EA","a","e",428.074620701899,1.269
"37","RAL_158","n","29EB","b","e",624.347199290774,1.31733333333333
"38","RAL_158","n","29EA","a","e",511.552671393339,1.269
"39","RAL_158","n","29EA","a","e",395.967678128269,1.269
"40","RAL_161","n","17AB","b","a",354.204048489419,1.01033333333333
"41","RAL_161","n","17AA","a","a",143.439860313651,0.924666666666667
"42","RAL_161","n","17AA","a","a",355.766833615624,0.924666666666667
"43","RAL_161","n","17AB","b","a",310.351672982294,1.01033333333333
"44","RAL_161","n","17AB","b","a",313.724932636688,1.01033333333333
"45","RAL_161","n","17AA","a","a",132.264756455652,0.924666666666667
"46","RAL_176","y","7CB","b","c",234.329323308271,1.06733333333333
"47","RAL_176","y","7CB","b","c",198.301984962406,1.06733333333333
"48","RAL_176","y","7CB","b","c",254.344511278196,1.06733333333333
"49","RAL_176","y","7CA","a","c",198.10013714865,0.965666666666667
"50","RAL_176","y","7CA","a","c",284.908803601643,0.965666666666667
"51","RAL_176","y","7CA","a","c",148.495184889797,0.965666666666667
"52","RAL_195","n","26DA","a","d",292.865150448425,1.2
"53","RAL_195","n","26DA","a","d",266.243459633739,1.2
"54","RAL_195","n","26DA","a","d",419.318181818182,1.2
"55","RAL_208","n","14BA","a","b",150.929282926779,1.24366666666667
"56","RAL_208","n","14BA","a","b",204.352665644499,1.24366666666667
"57","RAL_208","n","14BB","b","b",172.740191332511,1.18766666666667
"58","RAL_208","n","14BB","b","b",208.856807781811,1.18766666666667
"59","RAL_208","n","14BA","a","b",406.598328790153,1.24366666666667
"60","RAL_208","n","14BB","b","b",400.274874963097,1.18766666666667
"61","RAL_217","n","33DB","b","d",236.294057467218,1.03566666666667
"62","RAL_217","n","33DA","a","d",196.045761734042,1.04733333333333
"63","RAL_217","n","33DA","a","d",223.470041620307,1.04733333333333
"64","RAL_217","n","33DA","a","d",232.611468249062,1.04733333333333
"65","RAL_217","n","33DB","b","d",289.537439096589,1.03566666666667
"66","RAL_223","y","10DB","b","d",418.836078670993,1.49227777833333
"67","RAL_223","y","10DA","a","d",432.629027225525,1.39066666666667
"68","RAL_223","y","10DB","b","d",415.654197899544,1.49227777833333
"69","RAL_223","y","10DA","a","d",472.561563447553,1.39066666666667
"70","RAL_223","y","10DB","b","d",412.472317128096,1.49227777833333
"71","RAL_223","y","10DA","a","d",442.612161281032,1.39066666666667
"72","RAL_228","n","5AB","b","a",187.144814769717,1.153
"73","RAL_228","n","5AA","a","a",154.418884841254,1.025
"74","RAL_228","n","5AA","a","a",192.592145977667,1.025
"75","RAL_228","n","5AB","b","a",180.502663826848,1.153
"76","RAL_228","n","5AA","a","a",241.17629651492,1.025
"77","RAL_228","n","5AB","b","a",333.272135512834,1.153
"78","RAL_235","y","27BA","a","b",286.48200489156,1.14033333333333
"79","RAL_235","y","27BA","a","b",218.212920520255,1.14033333333333
"80","RAL_235","y","27BB","b","b",448.17194156044,1.26133333333333
"81","RAL_235","y","27BB","b","b",203.840481705243,1.26133333333333
"82","RAL_235","y","27BA","a","b",397.8684057079,1.14033333333333
"83","RAL_235","y","27BB","b","b",376.309747485382,1.26133333333333
"84","RAL_237","y","19EA","a","e",421.982641581297,1.13533333333333
"85","RAL_237","y","19EA","a","e",218.840554124498,1.13533333333333
"86","RAL_237","y","19EA","a","e",258.256183034026,1.13533333333333
"87","RAL_239","n","8AB","b","a",480.626752734239,1.27022222166667
"88","RAL_239","n","8AB","b","a",265.468371783547,1.27022222166667
"89","RAL_239","n","8AB","b","a",227.295110647134,1.27022222166667
"90","RAL_26","n","5BB","b","b",353.259684162875,1.23866666666667
"91","RAL_26","n","5BB","b","b",360.66182481695,1.23866666666667
"92","RAL_26","n","5BB","b","b",390.270387433251,1.23866666666667
"93","RAL_28","n","22AB","b","a",442.509189492838,1.25733333333333
